sourceID,reportingCompany,reportingCountry,sourceURL,format,startDate,endDate,sourcePublishDate
90df5f59628534fd2aa6e415748858be,BASF SE,Germany,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-90df5f59628534fd2aa6e415748858be,.pdf,01-01-2018,12-31-2018,05-14-2019
cc51e863b8d17582a3b22b14e92fd1c9,Bisichi PLC,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportcc51e863b8d17582a3b22b14e92fd1c9,.html,01-01-2017,12-31-2017,06-25-2018
3e7fa1cf4104535aef670d81a2b619b1,BlackPearl Resources Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-3e7fa1cf4104535aef670d81a2b619b1,.pdf,01-01-2018,12-31-2018,05-15-2019
e3f2af7ea3cecb33e35c673f4c9a71ff,Canadian Malartic Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte3f2af7ea3cecb33e35c673f4c9a71ff,.pdf,01-01-2016,12-31-2016,05-29-2017
b30b19da189efdd02b084fe9deeea97c,Aalborg Portland Holding A/S,Denmark,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-b30b19da189efdd02b084fe9deeea97c,.pdf,01-01-2018,12-31-2018
dbd584c748d12ca9c0eb2c5bf48a1614,Advantage Lithium Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-dbd584c748d12ca9c0eb2c5bf48a1614,.pdf,08-01-2016,07-31-2017,05-04-2018
2377abcbab8cf77d357831e132a1a351,Agnico Eagle Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-2377abcbab8cf77d357831e132a1a351,.pdf,01-01-2017,12-31-2017,09-23-2019
5ad893e4067268da13df56eda9c2628b,Aker BP ASA,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report5ad893e4067268da13df56eda9c2628b,.pdf,01-01-2016,12-31-2016,03-02-2017
0e4b50bf6d4ed9b17e7fee5f559db989,Algold Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report0e4b50bf6d4ed9b17e7fee5f559db989,.pdf,01-01-2016,12-31-2016,05-25-2017
93da2e5c7abf45ec6a77d332eeb3f25d,Alloycorp Mining Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report93da2e5c7abf45ec6a77d332eeb3f25d,.pdf,01-01-2016,12-31-2016,04-28-2017
9cfa1030afac66fd5ab6b54590043990,Antofagasta PLC,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-9cfa1030afac66fd5ab6b54590043990,.html,01-01-2018,12-31-2018,06-12-2019
70a40b28e159dc440ff7acd3f886791a,Aurion Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-70a40b28e159dc440ff7acd3f886791a,.pdf,01-01-2018,12-31-2018,04-30-2019
126f0506e0c62befcca39a7064fee675,Avino Silver and Gold Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-126f0506e0c62befcca39a7064fee675,.pdf,01-01-2018,12-31-2018,05-30-2019
8ea776492b2fe5f01589b4329a01b9ee,Barkerville Gold Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report8ea776492b2fe5f01589b4329a01b9ee,.pdf,01-01-2017,12-31-2017,05-28-2018
4b7bbea9c6e7fc34f8715f20cbb8f20d,Barkerville Gold Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-4b7bbea9c6e7fc34f8715f20cbb8f20d,.pdf,01-01-2018,12-31-2018,05-30-2019
e2dcbf6cbbedf9737fdb2fe2ca51465e,Caledonia Mining Corporation plc,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte2dcbf6cbbedf9737fdb2fe2ca51465e,.pdf,01-01-2017,12-31-2017,05-29-2018
ec4702ecfcde90c479f41289376db73f,Aguia Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-ec4702ecfcde90c479f41289376db73f,.pdf,07-01-2018,06-30-2019,11-12-2019
188ccd62aafd1fe0c415a6ebc9cc03c9,Athabasca Oil Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report188ccd62aafd1fe0c415a6ebc9cc03c9,.pdf,01-01-2017,12-31-2017,05-29-2018
592c698a45319129749be4d9a03d8747,Cameco Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report592c698a45319129749be4d9a03d8747,.pdf,01-01-2016,12-31-2016,05-12-2017
2e46119a0b3709a765ce5d8f2a60a20a,Canadian Natural Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report2e46119a0b3709a765ce5d8f2a60a20a,.pdf,01-01-2017,12-31-2017,05-30-2018
3794490c3260e43f270805027cc5e8ef,Canadian Non-Operated Resources Limited Partnership,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report3794490c3260e43f270805027cc5e8ef,.pdf,01-01-2017,12-31-2017,05-30-2018
034c95487745da0f460c89ea68fa0ecc,NorZinc Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-034c95487745da0f460c89ea68fa0ecc,.pdf,01-01-2018,12-31-2018,08-15-2019
